Account,Symbol,Initial Shares,Initial Avg Cost,Initial Purchase Date,Added Shares,Added Avg Cost,Added Date,Reinvested Shares,Reinvested Avg Cost,Reinvested Date,Dividends Received,Dividend Date,Notes
TFSA,VFV.TO,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,
TFSA,SCHD,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,
TFSA,VEQT.TO,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,
TFSA,VDY.TO,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,
TFSA,VIU.TO,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,
TFSA,VCN.TO,263.0,57.25,"August 21, 2025",0.0,0.0,,2.441,60.65,"September 26, 2025",148.05,"September 25, 2025",
